"TaxiID","Lon","Lat","datetime","Event","row_number"
"63486","116.4801","39.95794","20121105082900","1","1344877"
"66864","116.3468","39.92113","20121105085048","1","1499348"
"66884","116.2647","39.7686","20121105081734","1","1503060"
"68884","116.3577","39.89784","20121105082526","1","1642825"
"68904","116.2886","39.9357","20121105083340","1","1647120"
"66664","116.2902","40.04093","20121105084926","1","1465340"
"63264","116.317","39.92181","20121105084558","1","835865"
"63429","116.4116","39.97263","20121105080650","1","1035245"
"63489","116.3092","39.9747","20121105082158","1","1353381"
"68674","116.3169","39.96558","20121105084527","1","1576626"
"66542","116.4679","39.99495","20121105080942","1","1418747"
"66643","116.4207","39.911","20121105083218","1","1449417"
"63443","116.2744","39.95174","20121105084132","1","1118148"
"63443","116.2828","39.99734","20121105082810","1","1119513"
"63407","116.4625","39.94615","20121105081041","1","898909"
"63407","116.4557","39.92861","20121105082343","1","900377"
"63415","116.3303","39.91268","20121105082703","1","957819"
"63429","116.4098","39.9925","20121105083332","1","1038489"
"63440","116.297","39.88849","20121105082439","1","1100461"
"63453","116.4243","40.02091","20121105085047","1","1170217"
"63491","116.4415","39.99286","20121105080444","1","1368922"
"66547","116.2616","39.84736","20121105084630","1","1428632"
"68954","116.2819","39.84107","20121105085935","1","1654102"
"69234","116.511","39.94828","20121105084017","1","1695607"
"20344","116.4106","39.97585","20121105082908","1","69862"
"20344","116.3943","40.0038","20121105080053","1","71148"
"1148","116.4378","39.93987","20121105081504","1","10839"
"25845","116.2684","40.02876","20121105084947","1","566245"
"25847","116.4205","39.92046","20121105081542","1","570350"
"38664","116.3667","39.93451","20121105084249","1","732912"
"63415","116.3469","39.97464","20121105085157","1","962447"
"63453","116.5876","40.05363","20121105081322","1","1167768"
"69814","116.3026","39.85684","20121105084735","1","1775319"
"69814","116.3184","39.96666","20121105082303","1","1775324"
"77415","116.3109","39.9908","20121105082258","1","1854210"
"69324","116.3471","39.89476","20121105081602","1","1702092"
"69747","116.3583","39.86539","20121105083718","1","1758584"
"77401","116.4643","39.97637","20121105084710","1","1797341"
"66804","116.3324","39.97125","20121105081712","1","1480956"
"68142","116.3401","39.83846","20121105084246","1","1532332"
"68964","116.5663","39.72353","20121105082726","1","1660148"
"68964","116.529","39.83776","20121105085046","1","1661199"
"68964","116.5391","39.73536","20121105083341","1","1661467"
"66734","116.2985","39.92682","20121105080655","1","1473674"
"68724","116.3741","39.7635","20121105083803","1","1581463"
"66704","116.3291","39.99781","20121105082902","1","1467728"
"66704","116.3249","40.01048","20121105084025","1","1468482"
"66734","116.3057","39.98515","20121105084953","1","1473479"
"69740","116.4089","40.03859","20121105083617","1","1739272"
"68934","116.4503","39.96497","20121105081818","1","1651667"
"68794","116.3603","39.90807","20121105083625","1","1599162"
"68934","116.4809","39.9144","20121105084505","1","1651072"
"68142","116.3573","39.88471","20121105082430","1","1531644"
"68614","116.2868","39.88826","20121105082738","1","1571822"
"77441","116.3136","40.03135","20121105081916","1","1976564"
"77442","116.4103","40.00616","20121105081343","1","1980208"
"77415","116.3299","39.99142","20121105083355","1","1853511"
"63164","116.4259","40.07278","20121105081919","1","797370"
"63404","116.2388","39.90259","20121105083431","1","884410"
"63435","116.2389","39.9027","20121105085423","1","1078142"
"23404","116.3231","39.90594","20121105084653","1","500272"
"35467","116.3513","40.02987","20121105085741","1","656436"
"63314","116.2427","39.91492","20121105085842","1","845820"
"63419","116.4249","39.97855","20121105084948","1","979388"
"63469","116.4744","39.97175","20121105085244","1","1243183"
"63247","116.4797","39.92156","20121105081355","1","832559"
"66548","116.4433","39.99403","20121105081810","1","1431192"
"20344","116.3195","39.96622","20121105085613","1","70896"
"63401","116.352","39.98545","20121105084833","1","861239"
"69747","116.3624","39.85738","20121105082836","1","1761714"
"66544","116.4537","39.80502","20121105081628","1","1421096"
"68614","116.2768","39.86662","20121105081104","1","1569679"
"63475","116.4388","39.92105","20121105085905","1","1275800"
"63481","116.2959","39.83234","20121105081123","1","1320820"
"68994","116.2236","39.89457","20121105080104","1","1665725"
"69724","116.2966","39.96011","20121105082202","1","1736485"
"63484","116.2779","39.84802","20121105081059","1","1332102"
"69744","116.4634","39.91995","20121105083906","1","1751475"
"63463","116.4023","39.94824","20121105082245","1","1205990"
"63476","116.5239","39.94065","20121105081310","1","1283052"
"66540","116.4437","39.85859","20121105080101","1","1409046"
"77405","116.3046","39.88796","20121105084431","1","1806445"
"77412","116.3575","39.88329","20121105081532","1","1838776"
"77419","116.2586","39.90876","20121105084047","1","1875645"
"77421","116.3133","39.90977","20121105081651","1","1884205"
"68374","116.2472","39.92824","20121105080435","1","1563976"
"77441","116.2926","40.02341","20121105081150","1","1976557"
"77431","116.4245","39.86285","20121105080951","1","1931648"
"68904","116.2586","39.9094","20121105081311","1","1648587"
"68934","116.4657","39.91495","20121105085207","1","1651961"
"69324","116.3303","39.91276","20121105085336","1","1701942"
"69374","116.3475","39.87682","20121105083131","1","1714040"
"69744","116.4819","39.89939","20121105082200","1","1752144"
"69747","116.3845","39.87089","20121105084444","1","1756217"
"77416","116.4782","39.99036","20121105085346","1","1858742"
"77438","116.4019","39.9517","20121105085826","1","1957982"
"77447","116.3927","39.96193","20121105082234","1","2003038"
"63489","116.3187","39.98323","20121105084648","1","1353892"
"66540","116.4388","39.8578","20121105081147","1","1410680"
"66641","116.3806","39.89854","20121105082544","1","1442085"
"77439","116.278","39.84564","20121105084232","1","1963460"
"63479","116.3381","39.93372","20121105083014","1","1310638"
"68854","116.3913","40.07993","20121105080325","1","1634930"
"69142","116.3398","39.95274","20121105085755","1","1673198"
"69714","116.2989","39.98676","20121105085949","1","1735570"
"77415","116.3643","39.96052","20121105085205","1","1853527"
"77431","116.3681","39.89116","20121105084629","1","1932209"
"77424","116.489","39.79792","20121105081450","1","1904118"
"77448","116.3431","39.96656","20121105081111","1","2014816"
"77449","116.4607","39.9458","20121105085213","1","2017615"
"77449","116.458","39.94585","20121105084747","1","2021691"
"77449","116.4569","39.88324","20121105082809","1","2021725"
"83400","116.4716","39.82794","20121105082217","1","2060967"
"69742","116.2989","40.03797","20121105083224","1","1744499"
"77421","116.3734","39.84391","20121105085955","1","1883479"
"77421","116.3728","39.8354","20121105085639","1","1884292"
"77422","116.2737","39.95588","20121105082643","1","1889774"
"77423","116.5018","40.0067","20121105084429","1","1895120"
"77453","116.3539","39.8525","20121105080733","1","2032427"
"83400","116.4339","39.85254","20121105085015","1","2064579"
"63480","116.3517","39.89789","20121105085328","1","1312638"
"68994","116.254","39.91667","20121105082057","1","1666006"
"69714","116.3246","39.99622","20121105080519","1","1735494"
"69947","116.3227","40.04489","20121105080036","1","1785197"
"83424","116.3806","39.85974","20121105083530","1","2162330"
"69364","116.3732","39.89625","20121105084044","1","1713401"
"69814","116.2864","39.9925","20121105080444","1","1776341"
"69994","116.4553","39.94698","20121105080613","1","1795425"
"69144","116.5568","39.91514","20121105084556","1","1679841"
"69514","116.2474","39.88818","20121105082633","1","1725004"
"69524","116.2928","39.88832","20121105083535","1","1726233"
"77419","116.2541","39.92795","20121105083153","1","1875652"
"77438","116.3543","39.86516","20121105080542","1","1962081"
"63481","116.345","39.86911","20121105085701","1","1319026"
